DATE,RCCCBBALDPD30P
2012-07-01,3.15
2012-10-01,3.09
2013-01-01,2.95
2013-04-01,2.94
2013-07-01,2.48
2013-10-01,2.5
2014-01-01,2.36
2014-04-01,2.12
2014-07-01,2.24
2014-10-01,2.27
2015-01-01,2.22
2015-04-01,2.05
2015-07-01,2.25
2015-10-01,2.34
2016-01-01,2.25
2016-04-01,2.18
2016-07-01,2.43
2016-10-01,2.57
2017-01-01,2.56
2017-04-01,2.43
2017-07-01,2.68
2017-10-01,2.73
2018-01-01,2.72
2018-04-01,2.47
2018-07-01,2.68
2018-10-01,2.86
2019-01-01,2.82
2019-04-01,2.58
2019-07-01,2.79
2019-10-01,2.93
2020-01-01,2.87
2020-04-01,2.4
2020-07-01,2.08
2020-10-01,2.3
2021-01-01,2.09
2021-04-01,1.56
2021-07-01,1.6
2021-10-01,1.71
2022-01-01,1.85
2022-04-01,1.8
2022-07-01,2.14
2022-10-01,2.48
2023-01-01,2.74
2023-04-01,2.76
2023-07-01,3.19
