DATE,RCCCBBALTOT
2012-07-01,568.16
2012-10-01,584.39
2013-01-01,553.91
2013-04-01,561.64
2013-07-01,561.49
2013-10-01,580.42
2014-01-01,551.97
2014-04-01,565.69
2014-07-01,572.95
2014-10-01,597.95
2015-01-01,570.11
2015-04-01,585.3
2015-07-01,595.3
2015-10-01,621.45
2016-01-01,595.75
2016-04-01,612.91
2016-07-01,630.34
2016-10-01,662.95
2017-01-01,633.9
2017-04-01,651.88
2017-07-01,665.45
2017-10-01,703.95
2018-01-01,662.74
2018-04-01,681.99
2018-07-01,694.67
2018-10-01,725.9
2019-01-01,691.65
2019-04-01,712.97
2019-07-01,722.38
2019-10-01,760.36
2020-01-01,723.34
2020-04-01,654.76
2020-07-01,640.4
2020-10-01,656.27
2021-01-01,604.26
2021-04-01,623.06
2021-07-01,638.91
2021-10-01,691.13
2022-01-01,671.51
2022-04-01,718.14
2022-07-01,756.05
2022-10-01,812.32
2023-01-01,795.97
2023-04-01,837.32
2023-07-01,864.34
